0068WB,D,5/26/17,0.105,0.105,0.100,0.100,1954,0
0150,D,5/26/17,0.06,0.060,0.060,0.060,111310,0
0150WA,D,5/26/17,0.03,0.030,0.030,0.030,45099,0
7722,D,5/26/17,0.925,0.900,0.890,0.900,200,0
7129,D,5/26/17,3.35,3.360,3.350,3.350,413,0
4057,D,5/26/17,0.185,0.185,0.180,0.185,7368,0
0105,D,5/26/17,0.23,0.220,0.205,0.210,64953,0
0105WA,D,5/26/17,0.125,0.120,0.105,0.115,41047,0
7162,D,5/26/17,1.12,1.120,1.080,1.090,8993,0
6399,D,5/26/17,2.63,2.640,2.600,2.610,10233,0
6399C1,D,5/26/17,0.095,0.095,0.095,0.095,0,0
6399C2,D,5/26/17,0.075,0.075,0.075,0.075,0,0
6399C3,D,5/26/17,0.15,0.15,0.15,0.15,0,0
6399CX,D,5/26/17,0.1,0.1,0.1,0.1,0,0
6399CY,D,5/26/17,0.11,0.11,0.11,0.11,0,0
6399CZ,D,5/26/17,0.1,0.1,0.1,0.1,0,0
0072,D,5/26/17,0.045,0.050,0.045,0.045,15220,0
0072WA,D,5/26/17,0.02,0.020,0.020,0.020,3378,0
0072WB,D,5/26/17,0.035,0.035,0.030,0.030,2175,0
7048,D,5/26/17,4.83,4.850,4.800,4.800,283,0
5130,D,5/26/17,1.13,1.140,1.130,1.140,400,0
7099,D,5/26/17,1.13,1.140,1.090,1.110,890,0
7099LA,D,5/26/17,0.21,0.200,0.200,0.200,350,0
7099WB,D,5/26/17,0.25,0.25,0.25,0.25,0,0
7099WC,D,5/26/17,0.5,0.5,0.5,0.5,0,0
7181,D,5/26/17,0.36,0.355,0.320,0.330,165,0
7579,D,5/26/17,1.12,1.130,1.080,1.100,13782,0
6888,D,5/26/17,4.98,5.070,4.980,5.020,59789,0
688810,D,5/26/17,0.08,0.08,0.08,0.08,0,0
688811,D,5/26/17,0.05,0.05,0.05,0.05,0,0
688812,D,5/26/17,0.175,0.175,0.175,0.175,0,0
688813,D,5/26/17,0.085,0.085,0.085,0.085,0,0
688814,D,5/26/17,0.15,0.15,0.15,0.15,0,0
688815,D,5/26/17,0.26,0.195,0.185,0.195,101,0
688816,D,5/26/17,0.27,0.27,0.27,0.27,0,0
688818,D,5/26/17,0.075,0.075,0.075,0.075,200,0
688819,D,5/26/17,0.15,0.15,0.15,0.15,0,0
5106,D,5/26/17,1.64,1.670,1.640,1.670,20309,0
5021,D,5/26/17,0.575,0.585,0.555,0.555,37334,0
