<Name>,<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HALEX HOLDINGS BERHAD [S] (5151.KL),HALEX.KL,D,20170512,1.1700,1.1700,1.1500,1.1600,5753,0
HARTALEGA HOLDINGS BERHAD [S] (5168.KL),HARTA.KL,D,20170512,5.7100,5.8500,5.6400,5.6900,22623,0
HENGYUAN,HENGYUAN.KL,D,20170512,4.2500,4.6900,4.2500,4.4100,25813,0
HEVEABOARD BERHAD [S] (5095.KL),HEVEA.KL,D,20170512,1.3000,1.3100,1.2900,1.2900,30484,0
HEXZA CORPORATION BERHAD (3298.KL),HEXZA.KL,D,20170512,1.1200,1.1400,1.1100,1.1300,6332,0
HIAP TECK VENTURE BERHAD (5072.KL),HIAPTEK.KL,D,20170512,0.3100,0.3150,0.3100,0.3100,19774,0
HIBISCUS PETROLEUM BERHAD (5199.KL),HIBISCS.KL,D,20170512,0.4250,0.4300,0.4150,0.4200,119289,0
HIL INDUSTRIES BERHAD [S] (8443.KL),HIL.KL,D,20170512,1.1100,1.1100,1.0700,1.0800,1843,0
HO WAH GENTING BERHAD (9601.KL),HWGB.KL,D,20170512,0.0600,0.0650,0.0600,0.0600,13930,0
HOCK HENG STONE INDUSTRIES BHD [S] (5165.KL),HOKHENG.KL,D,20170512,0.3500,0.3500,0.3500,0.3500,200,0
IDEAL UNITED BINTANG BERHAD [S] (9687.KL),IDEALUBB.KL,D,20170512,0.8050,0.8050,0.8050,0.8050,150,0
INNOPRISE PLANTATIONS BERHAD [S] (6262.KL),INNO.KL,D,20170512,1.1600,1.1900,1.1600,1.1900,59,0
JADI IMAGING HOLDINGS BERHAD [S] (7223.KL),JADI.KL,D,20170512,0.0750,0.0750,0.0750,0.0750,14850,0
JAVA BERHAD [S] (2747.KL),JAVA.KL,D,20170512,0.0350,0.0350,0.0350,0.0350,0,0
JAYA TIASA HOLDINGS BHD [S] (4383.KL),JTIASA.KL,D,20170512,1.1600,1.1600,1.1300,1.1300,35141,0
JOHORE TIN BERHAD [S] (7167.KL),JOHOTIN.KL,D,20170512,1.7500,1.7500,1.7100,1.7200,6822,0
K.SENG SENG CORPORATION BERHAD [S] (5192.KL),KSSC.KL,D,20170512,0.5100,0.5100,0.4950,0.4950,1762,0
KECK SENG (MALAYSIA) BERHAD (3476.KL),KSENG.KL,D,20170512,5.0000,5.0000,4.9700,4.9700,299,0
KIA LIM BERHAD [S] (6211.KL),KIALIM.KL,D,20170512,0.4200,0.4200,0.4200,0.4200,200,0
KIAN JOO CAN FACTORY BERHAD [S] (3522.KL),KIANJOO.KL,D,20170512,3.0200,3.0200,2.9900,2.9900,193,0
KIM HIN INDUSTRY BERHAD [S] (5371.KL),KIMHIN.KL,D,20170512,2.2100,2.2200,2.2100,2.2200,235,0
KINSTEEL BHD (5060.KL),KINSTEL.KL,D,20170512,0.0500,0.0500,0.0450,0.0450,2870,0
KKB ENGINEERING BERHAD [S] (9466.KL),KKB.KL,D,20170512,1.3600,1.3600,1.3500,1.3600,219,0
KNM GROUP BERHAD [S] (7164.KL),KNM.KL,D,20170512,0.2850,0.2900,0.2800,0.2800,128159,0
KOBAY TECHNOLOGY BERHAD [S] (6971.KL),KOBAY.KL,D,20170512,0.9850,1.0100,0.9700,1.0100,641,0
KOSSAN RUBBER INDUSTRIES BERHAD [S] (7153.KL),KOSSAN.KL,D,20170512,6.3800,6.3800,6.2100,6.3200,840,0
KYM HOLDINGS BERHAD [S] (8362.KL),KYM.KL,D,20170512,0.5150,0.5200,0.5150,0.5200,910,0
LAFARGE MALAYSIA BERHAD [S] (3794.KL),LAFMSIA.KL,D,20170512,6.4900,6.5700,6.3400,6.3900,4097,0
LB ALUMINIUM BERHAD [S] (9326.KL),LBALUM.KL,D,20170512,0.7900,0.8050,0.7900,0.7950,10611,0
LCTH CORPORATION BERHAD (5092.KL),LCTH.KL,D,20170512,0.5450,0.5500,0.5400,0.5500,6158,0
LEADER STEEL HOLDINGS BERHAD (9881.KL),LSTEEL.KL,D,20170512,0.4800,0.4850,0.4650,0.4700,9900,0
LEON FUAT BERHAD (5232.KL),LEONFB.KL,D,20170512,0.7450,0.7450,0.7300,0.7400,2790,0
LEWEKO RESOURCES BERHAD [S] (8745.KL),LEWEKO.KL,D,20170512,0.3000,0.3050,0.2900,0.2950,17418,0
LION DIVERSIFIED HOLDINGS BERHAD (2887.KL),LIONDIV.KL,D,20170512,0.0600,0.0600,0.0550,0.0550,30976,0
LION INDUSTRIES CORPORATION BERHAD [S] (4235.KL),LIONIND.KL,D,20170512,1.0100,1.0300,0.9900,0.9950,81024,0
LUSTER INDUSTRIES BHD. [S] (5068.KL),LUSTER.KL,D,20170512,0.1400,0.1400,0.1350,0.1400,182612,0
MAGNI-TECH INDUSTRIES BERHAD [S] (7087.KL),MAGNI.KL,D,20170512,5.0800,5.1100,5.0700,5.1000,1284,0
MALAYSIA SMELTING CORPORATION BHD,MSC.KL,D,20170512,3.9600,4.0700,3.9200,4.0500,3697,0
MALAYSIA STEEL WORKS (KL) BHD [S] (5098.KL),MASTEEL.KL,D,20170512,1.0900,1.1200,1.0900,1.1100,38856,0
MASTER-PACK GROUP BHD,MASTER.KL,D,20170512,0.6400,0.6400,0.6300,0.6350,2150,0
MCEHLDG,MCEHLDG.KL,D,20170512,0.7850,0.7850,0.7800,0.7800,168,0
MELEWAR INDUSTRIAL GROUP BERHAD (3778.KL),MELEWAR.KL,D,20170512,0.3550,0.3550,0.3450,0.3450,3954,0
MENTIGA CORPORATION BERHAD [S] (5223.KL),MENTIGA.KL,D,20170512,0.7550,0.7550,0.7550,0.7550,3,0
METROD HOLDINGS BERHAD (6149.KL),METROD.KL,D,20170512,1.7800,1.7800,1.7800,1.7800,0,0
MIECO CHIPBOARD BERHAD [S] (5001.KL),MIECO.KL,D,20170512,2.1500,2.1700,2.1300,2.1400,3484,0
MINETECH RESOURCES BERHAD [S] (7219.KL),MINETEC.KL,D,20170512,0.1300,0.1300,0.1300,0.1300,1940,0
MINHO (M) BERHAD [S] (5576.KL),MINHO.KL,D,20170512,0.5900,0.5900,0.5800,0.5850,711,0
ML GLOBAL BERHAD (7595.KL),MLGLOBAL.KL,D,20170512,1.1400,1.1500,1.1300,1.1500,4092,0
MUAR BAN LEE GROUP BERHAD (5152.KL),MBL.KL,D,20170512,1.0900,1.1000,1.0900,1.1000,1228,0
MUDA HOLDINGS BERHAD [S] (3883.KL),MUDA.KL,D,20170512,1.6300,1.6300,1.6300,1.6300,918,0
MYCRON STEEL BERHAD [S] (5087.KL),MYCRON.KL,D,20170512,0.9400,0.9450,0.9250,0.9250,37711,0
NAKAMICHI CORPORATION BERHAD (7002A.KL),NAKA.KL,D,20170512,0.1850,0.1850,0.1850,0.1850,0,0
NWP HOLDINGS BERHAD [S] (5025.KL),NWP.KL,D,20170512,0.2100,0.2100,0.2050,0.2100,9760,0
NYLEX (MALAYSIA) BERHAD [S] (4944.KL),NYLEX.KL,D,20170512,0.9650,0.9700,0.9550,0.9600,5906,0
OKA CORPORATION BHD [S] (7140.KL),OKA.KL,D,20170512,1.5300,1.5400,1.5100,1.5400,4971,0
ORNAPAPER BERHAD [S] (5065.KL),ORNA.KL,D,20170512,1.0100,1.0100,1.0000,1.0100,408,0
P.A. RESOURCES BERHAD [S] (7225.KL),PA.KL,D,20170512,0.0800,0.0800,0.0800,0.0800,53100,0
P.I.E. INDUSTRIAL BERHAD [S] (7095.KL),PIE.KL,D,20170512,2.4900,2.5200,2.4800,2.5000,14227,0
PAOS HOLDINGS BERHAD [S] (5022.KL),PAOS.KL,D,20170512,0.5700,0.5800,0.5700,0.5800,931,0
PECCA,PECCA.KL,D,20170512,1.5100,1.5300,1.5100,1.5300,1029,0
PERISAI PETROLEUM TEKNOLOGI BHD [S] (0047.KL),PERISAI.KL,D,20170512,0.0650,0.0650,0.0600,0.0650,103090,0
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD [S] (5436.KL),PERSTIM.KL,D,20170512,7.6500,7.7800,7.6500,7.7000,206,0
PERWAJA HOLDINGS BERHAD (5146.KL),PERWAJA.KL,D,20170512,0.0100,0.0100,0.0100,0.0100,0,0
PETRON MALAYSIA REFINING & MARKETING BHD [S] (3042.KL),PETRONM.KL,D,20170512,8.5200,8.9500,8.5000,8.6200,13250,0
